Type,PW,PL,SW,SL
2,13,54,29,62
0,2,14,32,46
2,10,33,24,49
0,2,14,36,50
2,13,42,26,57
2,13,40,28,61
2,16,45,34,60
0,2,15,35,52
0,4,17,39,54
2,15,46,28,65
1,24,56,34,63
1,23,51,31,69
1,23,57,32,69
1,21,55,30,68
2,12,42,30,57
0,2,13,32,44
2,15,49,31,69
1,21,54,31,69
1,21,57,33,67
2,15,47,31,67
1,21,56,28,64
1,18,51,30,59
1,21,59,30,71
1,19,50,25,63
2,14,44,30,66
0,2,16,30,50
0,3,15,38,51
1,21,66,30,76
0,3,14,35,51
2,14,46,30,61
2,15,49,25,63
1,25,60,33,63
1,20,51,32,65
1,20,52,30,65
2,14,48,28,68
0,4,15,37,51
0,2,16,31,48
2,14,47,32,70
1,18,56,29,63
2,10,50,22,60
0,2,15,37,54
0,1,14,36,49
0,2,14,30,49
1,18,60,32,72
0,6,16,35,50
0,2,12,40,58
0,3,13,35,50
1,19,51,27,58
1,19,53,27,64
0,1,15,31,49
1,14,56,26,61
1,18,49,30,61
1,23,61,30,77
2,13,40,25,55
2,15,45,30,56
1,20,49,28,56
0,2,13,32,47
0,1,11,30,43
2,10,35,26,57
0,2,15,31,46
1,17,45,25,49
2,17,50,30,67
1,20,64,38,79
0,2,16,38,51
1,18,49,27,63
1,18,55,30,65
0,4,13,39,54
0,3,17,38,57
2,13,36,29,56
0,3,14,34,46
1,18,58,25,67
2,13,44,23,63
1,16,58,30,72
2,16,51,27,60
0,2,14,35,51
0,2,16,32,47
0,2,15,37,53
2,11,30,25,51
1,19,51,27,58
0,2,15,34,52
1,25,57,33,67
1,15,50,22,60
1,24,51,28,58
2,10,37,24,55
2,10,41,27,58
0,2,14,42,55
1,22,56,28,64
1,22,58,30,65
0,2,13,30,44
1,13,52,30,67
1,18,55,31,64
2,10,35,20,50
2,13,45,28,57
2,18,48,32,59
2,15,45,30,54
2,13,40,23,55
0,2,13,35,55
0,2,16,34,48
2,13,42,27,56
0,4,15,44,57
